#;Name;Team;G;PA;HR;R;RBI;SB;BB%;K%;ISO;BABIP;AVG;OBP;SLG;wOBA;wRC+;BsR;Off;Def;WAR
267;Manuel Margot;TBR;99;336;4;39;38;9;5.4%;16.4%;.113;.306;.264;.310;.376;.299;93;-2.1;-4.9;-1.0;0.6
268;Pablo Reyes;BOS;64;185;2;27;20;7;7.6%;11.4%;.090;.315;.287;.339;.377;.315;93;0.8;-0.8;0.0;0.6
269;Eloy Jiménez;CHW;120;489;18;50;64;0;6.1%;19.0%;.169;.305;.272;.317;.441;.325;105;-1.3;1.7;-13.1;0.5
270;Seby Zavala;2 Tms;73;193;7;17;18;1;6.2%;36.3%;.143;.230;.171;.230;.314;.239;45;-0.8;-13.5;12.3;0.5
271;Ildemaro Vargas;WSN;86;286;4;32;31;1;6.6%;7.0%;.111;.259;.252;.304;.363;.292;81;0.3;-6.5;2.1;0.5
272;Paul DeJong;3 Tms;112;400;14;41;38;4;5.3%;30.3%;.148;.264;.207;.258;.355;.266;66;-2.1;-18.7;10.4;0.5
273;Alex Call;WSN;128;439;8;43;38;9;12.1%;17.8%;.107;.230;.200;.307;.307;.280;73;-0.6;-15.5;5.8;0.5
274;Andruw Monasterio;MIL;92;315;3;38;27;7;8.9%;21.0%;.089;.326;.259;.330;.348;.302;88;-0.6;-5.5;0.0;0.5
275;Gio Urshela;LAA;62;228;2;22;24;3;4.4%;15.8%;.075;.346;.299;.329;.374;.307;92;-0.4;-2.6;-0.3;0.5
276;Garrett Cooper;2 Tms;123;457;17;42;61;0;6.8%;28.9%;.168;.324;.251;.304;.419;.313;96;-2.5;-4.9;-5.6;0.5
277;Reese McGuire;BOS;72;206;1;15;16;2;5.3%;25.7%;.091;.366;.267;.310;.358;.293;78;-1.3;-6.7;4.6;0.5
278;Randal Grichuk;2 Tms;118;471;16;65;44;2;6.2%;20.4%;.191;.309;.267;.321;.459;.333;100;-1.7;-1.4;-9.7;0.5
279;Luis García Jr.;WSN;122;482;9;61;50;9;5.6%;12.4%;.119;.286;.266;.304;.385;.297;84;-0.4;-10.1;-1.5;0.5
